State,Participation,Composite,English,Reading,Math,Science 
Alabama,100,18.9,50,34,22,24
Arkansas,100,19.3,53,35,26,25
Kentucky,100,19.8,56,40,29,29
Louisiana,100,18.8,51,32,22,24
Mississippi,100,18.4,46,29,20,19
Montana,100,19.8,51,40,34,32
Nebraska,100,20,55,40,34,33
Nevada,100,17.9,38,27,22,19
North Carolina,100,19,45,34,31,26
Ohio,100,20,53,41,35,33
Oklahoma,100,18.9,48,35,23,24
Tennessee,100,19.4,52,35,27,27
Utah,100,20.3,57,42,37,34
Wisconsin,100,20.3,56,40,39,36
Wyoming,100,19.8,53,39,31,30
North Dakota,96,19.9,52,38,34,32
Minnesota,95,21.4,61,48,47,42
Missouri,82,20.8,62,45,37,36
Hawaii,80,19,46,32,29,26
South Carolina,78,18.8,46,33,27,25
South Dakota,75,21.6,66,52,47,45
Arizona,73,19,45,34,31,25
Kansas,72,21.2,64,49,42,39
Iowa,66,21.6,67,52,44,44
New Mexico,63,19.3,47,37,27,26
Florida,54,20.1,56,45,33,31
Ceorgia,49,21.4,65,50,40,39
West Virginia,49,20.8,67,49,33,34
Oregon,42,21.1,60,48,42,39
Texas,39,20.5,55,44,38,35
Alaska,38,20.1,55,44,35,31
Illinois,35,24.3,84,66,63,57
District of Columbia,32,23.5,68,60,54,52
Idaho,31,22.5,73,59,51,47
Indiana,29,22.5,72,57,54,47
Maryland,28,22.3,68,56,48,47
Colorado,27,23.8,81,64,61,56
New Jersey,25,24.2,81,65,64,56
Washington,24,22.1,63,54,51,45
California,23,22.6,70,55,52,46
Connecticut,22,25.5,89,75,70,66
New York,22,24.5,81,69,67,63
Massachusetts,21,25.5,87,74,73,65
Virginia,21,24,80,67,60,57
Vermont,20,24.1,83,70,62,59
Michigan,19,24.4,84,68,65,60
Pennsylvania,17,23.6,78,64,59,55
New Hampshire,14,25,87,72,70,64
Delaware,13,24,81,66,60,56
Rhode Island,12,24.7,87,74,64,59
Maine,6,24.3,85,70,66,57